original,formatted,score,check,v1,v2,v3
Project Manager - EMEA Sales Operations , Project Manager - EMEA Sales Operations ,100,y,,,
Web Designer , Web Designer ,1000,y,,,
Graphic Artist and Web Designer , Graphic Artist and Web Designer ,1000,y,,,
CIO , CIO ,100,y,,,
Systems Engineer , Systems Engineer ,1000,y,,,
Role &ndash; Sr. Hyperion Lead &amp; Admin , Role &ndash; Sr. Hyperion Lead &amp; administrator ,89,n,,,
Sales Development Manager/SE Manager,,0,n,,,
Vice President Storage &amp; Trading , Vice President Storage amp Trading ,1000,y,,,
IT Systems Engineer , IT Systems Engineer ,1000,y,,,
Drilling Engineer , Drilling Engineer ,1000,y,,,
Consultant Drilling Fluids and Cement Supervisor , Consultant Drilling Fluids and Cement Supervisor ,1000,y,,,
Senior Sales Representative , Senior Sales Representative ,1000,y,,,
Web Production Manager , Web Production Manager ,1000,y,,,
Project Planner , Project Planner ,1000,y,,,
Developer , Developer ,1000,y,,,
Platform Engineer , Platform Engineer ,1000,y,,,
SAP BI Architect , SAP BI Architect ,1000,y,,,
Manager , Manager ,1000,y,,,
Validation Engineer , Validation Engineer ,1000,y,,,
Senior Development Manager , Senior Development Manager ,1000,y,,,
Director of SAP Cloud Support China Center , Director of SAP Cloud Support China Center ,1000,y,,,
Sr. Engineer , Sr Engineer ,1000,y,,,
E-Commerce Project Manager ,  ,0,n,,,
Designer , Designer ,1000,y,,,
UX Designer / Developer , User experience design Designer / Developer ,67,y,,,
Associate Scientist , Associate Scientist ,1000,y,,,
Associate Consultant , Associate Consultant ,1000,y,,,
Web Designer , Web Designer ,1000,y,,,
Software Engineer , Software Engineer ,1000,y,,,
Lead Gameplay Designer, Lead Gameplay Designer,100,y,,,
Software Engineer , Software Engineer ,1000,y,,,
Bridal Wear Sales Assistant , Bridal Wear Sales Assistant ,1000,y,,,
Консультант SAP ,  ,0,n,,,
Consumer Care Analyst , Consumer Care Analyst ,1000,y,,,
Product Line Manager - IWS Integrated Completion ,  ,0,n,,,
Senior Staff Member , Senior Staff Member ,1000,y,,,
VMware Administrator , VMware Administrator ,100,y,,,
Subsea Field Engineer , Subsea Field Engineer ,100,y,,,
Technical marketeer , Technical marketeer ,1000,y,,,
Programmer/Analyst ,  ,0,n,,,
Designer , Designer ,1000,y,,,
Customer Support Representative , Customer Support Representative ,1000,y,,,
Java/.Net Developer ,  ,0,n,,,
Assistant Manager/Product Management,Assistant Manager/Product Management,1000,y,,,
Completions Engineer , Completions Engineer ,1000,y,,,
Tools and Technology Department , Tools and Technology Department ,1000,y,,,
Senior Front End Developer , Senior Front End Developer ,1000,y,,,
web designer , web designer ,1000,y,,,
Senior Software Engineer , Senior Software Engineer ,1000,y,,,
Customer Service , Customer Service ,1000,y,,,
General Manager , General Manager ,1000,y,,,
Software Engineer , Software Engineer ,1000,y,,,
Artist | Designer , Artist  Designer ,1000,y,,,
Flash Development Engineer , Flash Development Engineer ,1000,y,,,
Network Specialist , Network Specialist ,1000,y,,,
Senior Consultant , Senior Consultant ,1000,y,,,
Associate Product Manager , Associate Product Manager ,1000,y,,,
R&amp;D Vice Director ,  ,0,n,,,
Sr. Web Developer / Project Lead , Sr Web Developer  Project Lead ,1000,y,,,
Head of Converged Sales , Head of Converged Sales ,1000,y,,,
SAP BI Consultant , SAP BI Consultant ,1000,y,,,
Systems Engineer , Systems Engineer ,1000,y,,,
Product Manager - Sify Voice Business ,  ,0,n,,,
functional consultant , functional consultant ,1000,y,,,
System engineer / Web programmer , System engineer  Web programmer ,1000,y,,,
Principal Hardware Development Engineer , Principal Hardware Development Engineer ,1000,y,,,
Network Manager , Network Manager ,1000,y,,,
SAP support analyst , SAP support analyst ,1000,y,,,
Senior C++ , Senior C ++,1000,y,,,
Engineer , Engineer ,1000,y,,,
Lead/Senior UNIX Systems Administrator ,  ,0,n,,,
Internetwork Solutions Engineer , Internetwork Solutions Engineer ,1000,y,,,
Shift Manager , Shift Manager ,1000,y,,,
Technical Support , Technical Support ,1000,y,,,
SAP BI/BW/HANA Consultant , SAP BI/BE/HANA Consultant ,96,y,,,
Сhief Engineer ,  ,0,n,,,
Marketing Assistant , Marketing Assistant ,1000,y,,,
Marketing and Advertising; 1001-5000 employees; HQ:Japan ,  ,0,n,,,
Marketing , Marketing ,1000,y,,,
Designer/developer ,  ,0,n,,,
Senior Developer , Senior Developer ,1000,y,,,
Senior Manager / Distributor Sales Dept. , Senior Manager  Distributor Sales Dept ,1000,y,,,
Senior Software Engineer , Senior Software Engineer ,1000,y,,,
Logistic and IT Manager , Logistic and IT Manager ,1000,y,,,
 Best Shore Application Services , Best Shore Application Services ,1000,y,,,
Marketing and Sales Promotion Dept. , Marketing and Sales Promotion Dept ,1000,y,,,
Senior Product Manager , Senior Product Manager ,1000,y,,,
Lead Software Engineer , Lead Software Engineer ,1000,y,,,
Manager  Broadband Content Div. , Manager Broadband Content Div ,1000,y,,,
Teamsite Content Specialist ,  ,0,n,,,
Gerrit Developer ,  ,0,n,,,
Software Developer Intern , Software Developer Intern ,1000,y,,,
Teacher , Teacher ,1000,y,,,
Solutions Director , Solutions Director ,1000,y,,,
Senior Manager  Development , Senior Manager Development ,1000,y,,,
GTS COO ,  ,0,y,,,
Network Engineer , Network Engineer ,1000,y,,,
Quantitative Business Analyst , Quantitative Business Analyst ,1000,y,,,
Regional Counsel EMEA , Regional Counsel EMEA ,100,y,,,
Technical Consultant , Technical Consultant ,1000,y,,,
Solution Architect , Solution Architect ,1000,y,,,
Software developer , Software developer ,1000,y,,,
Network Engineer , Network Engineer ,1000,y,,,
Technical Recruiting Consultant , Technical Recruiting Consultant ,1000,y,,,
Software Architect , Software Architect ,1000,y,,,
Warehouse Supervisor , Warehouse Supervisor ,1000,y,,,
Clinical Manager , Clinical Manager ,1000,y,,,
Senior Lead E-Commerce Developer ,  ,0,n,,,
UK Manufacturing IT Manager , UK Manufacturing IT Manager ,1000,y,,,
Sr. Systems Engineer/Sr. Editor ,  ,0,n,,,
National Distribution Centre Productivity Manager , National Distribution Center Productivity Manager ,98,y,,,
Advisor , Advisor ,1000,y,,,
Java and Salesforce Admin/Developer , Java and Salesforce administrator/Developer ,87,y,,,
Graduate Research Engineer , Graduate Research Engineer ,1000,y,,,
Senior Systems Engineer and Administrator , Senior Systems Engineer and Administrator ,1000,y,,,
Solutions Architect - Enterprise Integration Services , Solutions Architect  Enterprise Integration Services ,1000,y,,,
Resourcing Advisor , Resourcing Advisor ,1000,y,,,
Network Engineer , Network Engineer ,1000,y,,,
Senior Director , Senior Director ,1000,y,,,
Teir II Systems Analyst ,  ,0,n,,,
Marketing Associate , Marketing Associate ,1000,y,,,
Senior SAN/Storage Admin , Senior SAN/Storage administrator ,82,y,,,
Research Engineer , Research Engineer ,1000,y,,,
DBA , DAB ,67,n,,,
Test Lead , Test Lead ,1000,y,,,
Lead Architect , Lead Architect ,1000,y,,,
CG Artist... , CG Artist ,1000,y,,,
Software Engineer , Software Engineer ,1000,y,,,
Sr. Software Engineer/Consultant ,  ,0,n,,,
Information Management Services Trainee , Information Management Services Trainee ,1000,y,,,
Associate Brand Manager , Associate Brand Manager ,1000,y,,,
Staffing Manager , Staffing Manager ,1000,y,,,
2009 NADOA Hospitality Chair ,  ,0,n,,,
Mechanical Design Engineer , Mechanical Design Engineer ,1000,y,,,
 Mobile Developer Palm Pilot C  C , Mobile Developer Palm Pilot C  C ,1000,y,,,
Technical Support Team Manager , Technical Support Team Manager ,1000,y,,,
Account Planner , Account Planner ,1000,y,,,
UI Developer &amp; Digital Media Strategist , User interface Developer &amp; Digital Media Strategist ,86,y,,,
Marketing Director , Marketing Director ,1000,y,,,
Risk Underwriter , Risk Underwriter ,1000,y,,,
SAP BW Consultant , SAP BE Consultant ,94,n,,,
IT Audit Manager , IT Audit Manager ,1000,y,,,
Information Systems Intern , Information Systems Intern ,1000,y,,,
SAP BI Consultant - Managing Consultant , SAP BI Consultant  Managing Consultant ,1000,y,,,
IOS Software Engineer ,  ,0,n,,,
Enterprise Risk Manager , Enterprise Risk Manager ,1000,y,,,
PEOPLESOFT CONSULTANT , PEOPLE SOFT CONSULTANT ,98,y,,,
Gameplay programmer , Gameplay programmer ,100,n,,,
QA Engineer , QA Engineer ,1000,y,,,
Civil Engineer , Civil Engineer ,1000,y,,,
C developer with focus on Databases , C developer with focus on Databases ,1000,y,,,
Business Systems Analyst , Business Systems Analyst ,1000,y,,,
Assistant University Registrar , Assistant University Registrar ,1000,y,,,
Sr. QA Analyst &ndash; Automation Team Leader , Sr. QA Analyst &ndash; Automation Team Leader ,100,n,,,
Managing Consultant , Managing Consultant ,1000,y,,,
CRM System Administrator , Customer relationship management System Administrator ,57,y,,,
Senior Tools Lead , Senior Tools Lead ,1000,y,,,
Co-Founder ,  ,0,n,,,
International Account Executive , International Account Executive ,1000,y,,,
Senior Safety Case Author , Senior Safety Case Author ,1000,y,,,
Customer advisor , Customer advisor ,1000,y,,,
Geologist / Log Analyst , Geologist  Log Analyst ,1000,y,,,
ECM Consultant ,  ,0,n,,,
Technical Consultant , Technical Consultant ,1000,y,,,
Team Specialist Accounts Receivable &amp; Credit Management , Team Specialist Accounts Receivable amp Credit Management ,1000,y,,,
CRM Project Manager , Customer relationship management Project Manager ,51,y,,,
Project Manager , Project Manager ,1000,y,,,
Chief of Investment Projects , Chief of Investment Projects ,1000,y,,,
Tech Support Programmer , Tech Support Programmer ,1000,y,,,
Asia Pacific Network Support Manager , Asia Pacific Network Support Manager ,1000,y,,,
Geologist , Geologist ,1000,y,,,
Consultant , Consultant ,1000,y,,,
IT Support Specialist , IT Support Specialist ,1000,y,,,
CEO / Stereoscopic Director , CEO  Stereoscopic Director ,1000,y,,,
Manager , Manager ,1000,y,,,
Consultant in Anaesthesia and Intensive Care , Consultant in Anesthesia and Intensive Care ,99,y,,,
FY2 Doctor ,  ,0,n,,,
Sr. Planning Manager , Sr Planning Manager ,1000,y,,,
Web Developer , Web Developer ,1000,y,,,
Geophysicist and Technical Specialist for OpendTect /etc ,  ,0,n,,,
TECHNICAL SUPPORT REPRESENTATIVE , TECHNICAL SUPPORT REPRESENTATIVE ,1000,y,,,
Senior Environmental Artist , Senior Environmental Artist ,1000,y,,,
Director Of Marketing , Director Of Marketing ,1000,y,,,
Land Consultant , Land Consultant ,1000,y,,,
Technical Director , Technical Director ,1000,y,,,
Engineering Intern , Engineering Intern ,1000,y,,,
Director of Engineering , Director of Engineering ,1000,y,,,
Senior User Experience Designer , Senior User Experience Designer ,1000,y,,,
User Experience Manager &amp; Architect (Executive Level) , User Experience Manager amp Architect Executive Level ,1000,y,,,
Graphic Artist and Programmer. ,Graphic Artist and Programmer. ,1000,y,,,88
Freelance Designer Developer/Programmer ,  ,0,n,,,
Principal Programmer , Principal Programmer ,1000,y,,,
Sharepoint Consultant , Share point Consultant ,98,y,,,
Business Development Manager , Business Development Manager ,1000,y,,,
Software Engineer , Software Engineer ,1000,y,,,
Programming Technician , Programming Technician ,1000,y,,,
Product Manager , Product Manager ,1000,y,,,
Member , Member ,1000,y,,,
Sap Bi Consultant , Sap Bi Consultant ,1000,y,,,
Web Team Leader , Web Team Leader ,1000,y,,,
Mechanical Project Engineer - EPC &amp; Fabrication Dept. ,  ,0,n,,,
Co-Founder ,  ,0,n,,,
Sr. Software Engineer , Sr Software Engineer ,1000,y,,,
Co-Founder ,  ,0,n,,,
Manager Analytics , Manager Analytics ,1000,y,,,
Head of IT , Head of IT ,1000,y,,,
 Lead Data Engineer Platform Development , Lead Data Engineer Platform Development ,1000,y,,,
Administrative Manager / Accountant , Administrative Manager  Accountant ,1000,y,,,
Intern , Intern ,1000,y,,,
NetSuite Administrator / Business Analyst ,  ,0,n,,,
Benefits Analyst/Oracle Support ,  ,0,n,,,
Linesman , Linesman ,1000,y,,,
Project Lead , Project Lead ,1000,y,,,
Senior Software Developer , Senior Software Developer ,1000,y,,,
International accountant , International accountant ,1000,y,,,
 Director Database amp Technology , Director Database amp Technology ,1000,y,,,
Partner &amp; Global Head - Presales and SEO (Sales Enablement) , Partner &amp; Global Head - Presales and Search engine optimization (Sales Enablement) ,82,y,,,
Principal Software Engineer , Principal Software Engineer ,1000,y,,,
Software Engineer , Software Engineer ,1000,y,,,
Assistant , Assistant ,1000,y,,,
 Consumer and Social Media Marketing, Consumer and Social Media Marketing,1000,y,,,
It Manager , It Manager ,1000,y,,,
.NET Masters Student , NET Masters Student ,1000,y,,,
Managing Director of Business Development , Managing Director of Business Development ,1000,y,,,
Regional Sales Manager , Regional Sales Manager ,1000,y,,,
Future Blue Team Lead , Future Blue Team Lead ,1000,y,,,
Team Lead , Team Lead ,1000,y,,,
Head of Research and Development of Professional Expertise , Head of Research and Development of Professional Expertise ,1000,y,,,
Web Development Contractor , Web Development Contractor ,1000,y,,,
Senior Product Manager , Senior Product Manager ,1000,y,,,
Quote to Cash Controller , Quote to Cash Controller ,1000,y,,,
Enterprise Architect , Enterprise Architect ,1000,y,,,
 Emerging Markets &amp; Fixed Income , Emerging Markets &amp; Fixed Income ,85,n,,,
Technical Account Manager , Technical Account Manager ,1000,y,,,
Director , Director ,1000,y,,,
Associate Director , Associate Director ,1000,y,,,
Account Supervisor , Account Supervisor ,1000,y,,,
Energy Advisor , Energy Advisor ,1000,y,,,
Reservoir Engineer , Reservoir Engineer ,1000,y,,,
Piping Engineer / Piping Designer , Piping Engineer  Piping Designer ,1000,y,,,
Software Analysis &amp; Developver , Software Analysis &amp; Developer ,99,y,,,
Field Service Marketing Manager , Field Service Marketing Manager ,1000,y,,,
Community Manager for SHSO ,  ,0,n,,,
Palletizer ,  ,0,n,,,
Interactive Producer , Interactive Producer ,1000,y,,,
Six Sigma Black Belt / Process Improvement Engineer , Six Sigma Black Belt  Process Improvement Engineer ,1000,y,,,
Financial Software Engineer Consultant , Financial Software Engineer Consultant ,1000,y,,,
Sales Consultant UC &amp; C ,  ,0,n,,,
Environmental Coordinator , Environmental Coordinator ,1000,y,,,
User Generated Content Analyst , User Generated Content Analyst ,1000,y,,,
Support Specialist , Support Specialist ,1000,y,,,
Programmer , Programmer ,1000,y,,,
Consultant , Consultant ,1000,y,,,
Cyber Security Intern ,  ,0,n,,,
Systems Administrator / Database Administrator , Systems Administrator  Database Administrator ,1000,y,,,
Operations Management Leadership Program , Operations Management Leadership Program ,1000,y,,,
Developer , Developer ,1000,y,,,
Desktop Engineer / Client Engineer (Consultant) , Desktop Engineer  Client Engineer Consultant ,1000,y,,,
Lead Commercial Manager - International , Lead Commercial Manager  International ,1000,y,,,
IT Architect,Managing Consultant ,  ,n,,,
Quality Analyst , Quality Analyst ,1000,y,,,
Lab manager , Lab manager ,1000,y,,,
Business Intelligence Consultant , Business Intelligence Consultant ,1000,y,,,
Safety Officer , Safety Officer ,1000,y,,,
System Test Analyst , System Test Analyst ,1000,y,,,
Software Engineer , Software Engineer ,1000,y,,,
 Marketing Manager User Acquisition , Marketing Manager User Acquisition ,1000,y,,,
Methodology Maven , Methodology Maven ,1000,y,,,
Project Manager - Electricity Alliance Central , Project Manager  Electricity Alliance Central ,1000,y,,,
Projects Group Manager , Projects Group Manager ,1000,y,,,
Quality Assurance Engineer , Quality Assurance Engineer ,1000,y,,,
Manager , Manager ,1000,y,,,
Software Engineering Team Leader , Software Engineering Team Leader ,1000,y,,,
Director Of Business Development , Director Of Business Development ,1000,y,,,
SCRUM Master , SCRUM Master ,1000,y,,,
Business Manager , Business Manager ,1000,y,,,
Subsea Hardware Engineer - Prelude FLNG , Subsea Hardware Engineer - Prelude FLNG ,100,n,,,
Instrument Engineer , Instrument Engineer ,1000,y,,,
Business Intelligence Analyst , Business Intelligence Analyst ,1000,y,,,
Runner , Runner ,1000,y,,,
National Account Manager &ndash; Distribution Sales , National Account Manager &ndash; Distribution Sales ,100,n,,,
Project Manager , Project Manager ,1000,y,,,
Assistant Area Manager , Assistant Area Manager ,1000,y,,,
Principal C&amp;I PMC SABIC / SHARQ Ethylene Project, KSA. ,  ,n,,,
Web Business Analyst , Web Business Analyst ,1000,y,,,
Oracle Build Team Functional Consultant , Oracle Build Team Functional Consultant ,1000,y,,,
IT Management Consultant (Xansa) ,  ,0,n,,,
Global Head - Sales &amp; Consultancy, TCS Financial Solutions ,  ,n,,,
Project Manager - PPR , Project Manager  PPR ,1000,y,,,
Analyst , Analyst ,1000,y,,,
Technical Consultant , Technical Consultant ,1000,y,,,
Drilling Engineer , Drilling Engineer ,1000,y,,,
Assistant Controller , Assistant Controller ,1000,y,,,
Senior Software Engineer , Senior Software Engineer ,1000,y,,,
Lead Geoscientist , Lead Geo scientist ,97,y,,,
Intern , Intern ,1000,y,,,
Sr. VoIP Engineer ,  ,0,n,,,
Senior Account Executive , Senior Account Executive ,1000,y,,,
Key Account Manager , Key Account Manager ,1000,y,,,
Investment Banking Summer Intern , Investment Banking Summer Intern ,1000,y,,,
Sales Director , Sales Director ,1000,y,,,
Sr. Sales Engineer , Sr Sales Engineer ,1000,y,,,
Telecom Engineer , Telecoms Engineer ,97,y,,,
Channel Manager &ndash; Wholesale Cash &amp; Carry , Channel Manager &ndash; Wholesale Cash &amp; Carry ,100,n,,,
Student Electrical Engineer , Student Electrical Engineer ,1000,y,,,
Technology Sales Account Manager for BNP Paribas and AXA Group (Financial Services) ,  ,0,n,,,
Regulatory Liaison &amp; Stratetgy - Cardiovascular portfolio ,  ,0,n,,,
Technology Consultant/analyst ,  ,0,n,,,
Lead Engineer / Technical Consultant / Manager , Lead Engineer  Technical Consultant  Manager ,1000,y,,,
Application Consultant , Application Consultant ,1000,y,,,
Flexible pipe Enginee&amp; Leader ,  ,0,n,,,
Consultant , Consultant ,1000,y,,,
 &amp; EU project leader , &amp; EU project leader ,1000,y,,,
Artistic Assessor - Theatre and Visual arts ,  ,0,n,,,
Junior Partner Account Manager , Junior Partner Account Manager ,1000,y,,,
Network Design Engineer , Network Design Engineer ,1000,y,,,
Software-Engineer/analyst ,  ,0,n,,,
Contract Recruiter for CTO , Contract Recruiter for chief technology officer  ,62,y,,,
Associate , Associate ,1000,y,,,
Development Manager , Development Manager ,1000,y,,,
Senior Business Applications Release Manager , Senior Business Applications Release Manager ,1000,y,,,
 Internship in Administration Finance and Marketing , Internship in Administration Finance and Marketing ,1000,y,,,
Staff Information Systems Analyst , Staff Information Systems Analyst ,1000,y,,,
Field Specialist , Field Specialist ,1000,y,,,
System Operator , System Operator ,1000,y,,,
Process Engineer , Process Engineer ,1000,y,,,
Reservoir Engineer (Behr Springs Project) ,  ,0,n,,,
Head of Baseline Management , Head of Baseline Management ,1000,y,,,
Android Developer , Android Developer ,1000,y,,,
Android Developer , Android Developer ,1000,y,,,
Project Manager Dedicated Teams , Project Manager Dedicated Teams ,1000,y,,,
Senior Software Developer and Onsite Coordinator , Senior Software Developer and Onsite Coordinator ,100,n,,,
REACH Registration Officer , REACH Registration Officer ,1000,y,,,
Lead Technical Recruiter , Lead Technical Recruiter ,1000,y,,,
Consultant , Consultant ,1000,y,,,
