original,formatted,score,check,v1,v2,v3
Contracts Specialist - Semi Submersible Drilling Rigs , Contracts Specialist  Semi Submersible Drilling Rigs ,1000,y,,,
 Director Technical , Director Technical ,1000,n,,,
Compensation Analyst , Compensation Analyst ,1000,y,,,
Oracle developer , Oracle developer ,1000,y,,,
Junior Linux System Administrator , Junior Linux System Administrator ,1000,y,,,
EMEA Alliances Manager , EMEA Alliances Manager ,100,n,,,
 Engineering Director, Engineering Director,1000,n,100,,
Software Development Engineer , Software Development Engineer ,1000,y,,,
Controller , Controller ,1000,y,,,
Project Qa Manager , Project QA Manager ,94,y,,,
Online Sales &amp; Operations , Online Sales &amp; Operations ,100,n,,,
Business Development Consultant , Business Development Consultant ,1000,y,,,
Cross-project Oracle and Unix expert; System Integrator ,  ,0,n,,,
Solution Architect , Solution Architect ,1000,y,,,
Systems Engineer , Systems Engineer ,1000,y,,,
Validation Engineer , Validation Engineer ,1000,y,,,
 Manager Global Reg Affairs , Manager Global Reg Affairs ,1000,n,,,
Senior Software Developer , Senior Software Developer ,1000,y,,,
Programmer , Programmer ,1000,y,,,
Senior Safety Engineer &ndash; HSE Advisor , Senior Safety Engineer &ndash; HSE Advisor ,100,n,,,
Executive Compensation Consultant , Executive Compensation Consultant ,1000,y,,,
Android developer , Android developer ,1000,y,,,
 Senior Executive Commercial and Business Development , Senior Executive Commercial and Business Development ,1000,n,,,
Head of Pre-Sales , Head of Pre-Sales ,100,n,,,
GPO PSCM Contract Execution Manager ,  ,0,n,,,
Validation Engineer , Validation Engineer ,1000,y,,,
Art Director , Art Director ,1000,y,,,
System Specialist , System Specialist ,1000,y,,,
Java Developer , Java Developer ,1000,y,,,
Executive Assistant to Commercial Director , Executive Assistant to Commercial Director ,1000,y,,,
Treasury Controller , Treasury Controller ,1000,y,,,
Client Services Representative , Client Services Representative ,1000,y,,,
Executive Compensation Consultant , Executive Compensation Consultant ,1000,y,,,
Game Designer , Game Designer ,1000,y,,,
Senior Linux Administrator , Senior Linux Administrator ,1000,y,,,
Service Delivery Manager , Service Delivery Manager ,1000,y,,,
Senior Cost Engineer , Senior Cost Engineer ,1000,y,,,
Project Manager , Project Manager ,1000,y,,,
Call Center Supervisor , Call Center Supervisor ,1000,y,,,
Pre-Sales , Pre-Sales ,100,n,,,
Business Development and Marketing , Business Development and Marketing ,1000,y,,,
Validation Consultant , Validation Consultant ,1000,y,,,
Network and Security Consultant , Network and Security Consultant ,1000,y,,,
Senior Scientific Systems Business Analyst,Senior Scientific Systems Business Analyst,1000,y,,,
Outsoucing Sales Executive,Outsoucing Sales Executive,99,y,,,
Sales Manager , Sales Manager ,1000,y,,,
Director of Partners &amp; Alliances , Director of Partners amp Alliances ,1000,y,,,
IT Security Manager , IT Security Manager ,1000,y,,,
IT Support Supervisor , IT Support Supervisor ,1000,y,,,
Informix Specialist ,  ,0,n,,,
Senior Validation Engineer , Senior Validation Engineer ,1000,y,,,
Technical Recruiter , Technical Recruiter ,1000,y,,,
Technical Support Engineer , Technical Support Engineer ,1000,y,,,
Senior Validation Engineer , Senior Validation Engineer ,1000,y,,,
 Project Manager Installation  Service , Project Manager Installation  Service ,1000,n,,,
Asst. HR Manager , Asst HR Manager ,1000,y,,,
Principal Security Architect , Principal Security Architect ,1000,y,,,
Principal Software Engineer , Principal Software Engineer ,1000,y,,,
Technical Leader , Technical Leader ,1000,y,,,
Project Control Engineer , Project Control Engineer ,1000,y,,,
Account Executive , Account Executive ,1000,y,,,
QA Team Leader , QA Team Leader ,1000,y,,,
Environment Artist , Environment Artist ,1000,y,,,
Assistant Content Producer for Drama Programme Support , Assistant Content Producer for Drama Programmer Support ,99,y,,,
Account Manager , Account Manager ,1000,y,,,
IT Sourcing and Contract Management Dept. ( Contract ) , IT Sourcing and Contract Management Dept  Contract  ,1000,y,,,
Senior Web Designer (contract assignment) , Senior Web Designer contract assignment ,1000,y,,,
Information Security Consultant , Information Security Consultant ,1000,y,,,
 Database Engineering , Database Engineering ,1000,y,,,
 Database Engineering , Database Engineering ,1000,y,,,
Automation Validation Engineer , Automation Validation Engineer ,1000,y,,,
Xbox 360 Compliance Games Tester ,  ,0,n,,,
SAP BW Consultant , SAP BE Consultant ,94,y,,,
Marketing Intern , Marketing Intern ,1000,y,,,
Senior Quality Officer , Senior Quality Officer ,1000,y,,,
QA Manager Chemical Production , QA Manager Chemical Production ,1000,y,,,
Senior Manager /Team Leader COQA ,  ,0,n,,,
Identity and Access Management Consultant , Identity and Access Management Consultant ,1000,y,,,
Systems Engineer , Systems Engineer ,1000,y,,,
Mobile Software Engineer , Mobile Software Engineer ,1000,y,,,
Production Manager , Production Manager ,1000,y,,,
IT Intern , IT Intern ,1000,y,,,
Various Field Sales Roles,Various Field Sales Roles,1000,y,,,
Senior Database Market Analyst , Senior Database Market Analyst ,1000,y,,,
Web &amp; iOS developer , Web &amp; iOS developer ,100,n,,,
Public Sector Account Manager , Public Sector Account Manager ,1000,y,,,
Hardware Engineer , Hardware Engineer ,1000,y,,,
Quality Coordinator , Quality Coordinator ,1000,y,,,
Project Manager , Project Manager ,1000,y,,,
Marketing Associate , Marketing Associate ,1000,y,,,
Senior Producer , Senior Producer ,1000,y,,,
Construction Temp , Construction Temp ,1000,y,,,
Plant Finance Manager , Plant Finance Manager ,1000,y,,,
Student Intern , Student Intern ,1000,y,,,
Regional Sales Manager , Regional Sales Manager ,1000,y,,,
Project Planner , Project Planner ,1000,y,,,
 Senior Editor, Senior Editor,1000,y,,,
Freelance Illustrator/Comic Artist ,  ,0,n,,,
Creative Designer Lead , Creative Designer Lead ,1000,y,,,
VP Sales , VP Sales ,1000,y,,,
Project Manager , Project Manager ,1000,y,,,
WUI Designer ,  ,0,n,,,
Senior Business Insights Analyst - Internet Marketing , Senior Business Insights Analyst  Internet Marketing ,1000,y,,,
Senior Software Engineer , Senior Software Engineer ,1000,y,,,
Principal Software Engineer , Principal Software Engineer ,1000,y,,,
Software Developer , Software Developer ,1000,y,,,
CRA Manager ,  ,0,n,,,
Software Developer , Software Developer ,1000,y,,,
 Sales Training , Sales Training ,1000,y,,,
Interactive Media Coordinator , Interactive Media Coordinator ,1000,y,,,
Database Operations Consultant , Database Operations Consultant ,1000,y,,,
Account Manager , Account Manager ,1000,y,,,
Marketing specialist/ Head of marketing group , Marketing specialist Head of marketing group ,1000,y,,,
Financial Analyst &amp; Royalty acctountant , Financial Analyst &amp; Royalty accountant ,99,y,,,
Lead UI Designer , Lead User interface Designer ,68,y,,,
McBride/Rossin Campaign Earned Media Director ,  ,0,n,,,
Senior Analytics and Optimizaiton Manager ,  ,0,n,,,
Cerner Subject Matter Expert (SME) Functional , Cerner Subject Matter Expert (TIME) Functional ,97,y,,,
Lead Graphic Designer , Lead Graphic Designer ,1000,y,,,
Marketing Assistant , Marketing Assistant ,1000,y,,,
Supply Chain and Forecasting Manager , Supply Chain and Forecasting Manager ,1000,y,,,
Head Web Architect , Head Web Architect ,1000,y,,,
Senior Regulatory Affairs Executive , Senior Regulatory Affairs Executive ,1000,y,,,
Escalation Engineer (CPR) for BizTalk/IIS/Internet Servers ,  ,0,n,,,
QA Test Consultant(TCM) ,  ,0,n,,,
Business Assurance Manager , Business Assurance Manager ,1000,y,,,
UX Designer , User experience design Designer ,48,y,,,
Quality Manager , Quality Manager ,1000,y,,,
Customer Service Manager , Customer Service Manager ,1000,y,,,
Sales Manager , Sales Manager ,1000,y,,,
TSS Security Manager ,  ,0,n,,,
Art Director , Art Director ,1000,y,,,
Senior Director Manufacturing Technology , Senior Director Manufacturing Technology ,1000,y,,,
Program Director , Program Director ,1000,y,,,
Chief Operations Director , Chief Operations Director ,1000,y,,,
Production Control Specialist , Production Control Specialist ,1000,y,,,
Project Manager , Project Manager ,1000,y,,,
Engine Programmer , Engine Programmer ,1000,y,,,
Analyst - Equities Risk Analytics , Analyst  Equities Risk Analytics ,1000,y,,,
Intern , Intern ,1000,y,,,
Senior Reservoir Geophysicist , Senior Reservoir Geophysicist ,1000,y,,,
Executive Director , Executive Director ,1000,y,,,
Sr.FAE ,  ,0,n,,,
Network &amp; Security Engineer , Network amp Security Engineer ,1000,y,,,
Manager of Video Art Department , Manager of Video Art Department ,1000,y,,,
Field Application Engineer , Field Application Engineer ,1000,y,,,
Information Manager - Capital Productivity - BP Group Technology ,  ,0,n,,,
Senior Application Engineer , Senior Application Engineer ,1000,y,,,
Automation &amp; IT Validation &amp; Compliance Consultant , Automation amp IT Validation amp Compliance Consultant ,1000,y,,,
Director Retention Marketing and E-mail Operations , Director Retention Marketing and Email Operations ,1000,y,,,
Designer , Designer ,1000,y,,,
Marketing Consultant: Brand and Consumer Marketing , Marketing Consultant Brand and Consumer Marketing ,1000,y,,,
Operation Manager Completions Angola , Operation Manager Completions Angola ,1000,y,,,
Systems Engineer , Systems Engineer ,1000,y,,,
Product manager , Product manager ,1000,y,,,
Web Development Intern , Web Development Intern ,1000,y,,,
Security Operations Engr ,  ,0,n,,,
Scientist , Scientist ,1000,y,,,
Senior Marketing Manager / Director of Global Expansion Team , Senior Marketing Manager  Director of Global Expansion Team ,1000,y,,,
Adjunct Professor , Adjunct Professor ,1000,y,,,
Project Manager , Project Manager ,1000,y,,,
Business Development Manager (BDM) ,  ,0,n,,,
Principal Technical Consultant , Principal Technical Consultant ,1000,y,,,
Software Developer , Software Developer ,1000,y,,,
Research Technician , Research Technician ,1000,y,,,
Php Developer And Deployment Manager ,  ,0,n,,,
Developer , Developer ,1000,y,,,
Software Engineer , Software Engineer ,1000,y,,,
 Senior Director Database Marketing , Senior Director Database Marketing ,1000,y,,,
Sr. Java Developer , Sr Java Developer ,1000,y,,,
Research &amp; Development Engineer , Research amp Development Engineer ,1000,y,,,
Front End Web Developer , Front End Web Developer ,1000,y,,,
 Office Communications , Office Communications ,1000,y,,,
Areamanager , Area manager ,96,y,,,
Creative Services Design , Creative Services Design ,1000,y,,,
FX Derivatives Product Sales , FX Derivatives Product Sales ,100,n,,,
Senior Information Security Officer , Senior Information Security Officer ,1000,y,,,
Network Services Manager , Network Services Manager ,1000,y,,,
Firmware Engineer, SSDs ,  ,n,,,
Service Development Manager , Service Development Manager ,1000,y,,,
 Manager Enterprise Analytics , Manager Enterprise Analytics ,1000,n,,,
Lead HMI Developer ,  ,0,n,,,
Lead Technical Analyst , Lead Technical Analyst ,1000,y,,,
Software Engineer , Software Engineer ,1000,y,,,
Economist , Economist ,1000,y,,,
Technical Architect , Technical Architect ,1000,y,,,
Sr. Storage Product Planner , Sr Storage Product Planner ,1000,y,,,
Freelance Designer , Freelance Designer ,1000,y,,,
Software Engineer , Software Engineer ,1000,y,,,
QA Executive , QA Executive ,1000,y,,,
 Director Legal amp Business Affairs , Director Legal amp Business Affairs ,1000,y,,,
UK Head of Payment Solutions , UK Head of Payment Solutions ,1000,y,,,
Head Quality Assurance , Head Quality Assurance ,1000,y,,,
Sr. Interaction Designer , Sr Interaction Designer ,1000,y,,,
Senior .NET Engineer , Senior NET Engineer ,1000,y,,,
Software Engineer , Software Engineer ,1000,y,,,
Publications Editor , Publications Editor ,1000,y,,,
Trade Mark Consultant , Trade Mark Consultant ,1000,y,,,
QA , QA ,1000,y,,,
Recruiting Director North Asia , Recruiting Director North Asia ,1000,y,,,
Resort Representative , Resort Representative ,1000,y,,,
Co-Founder ,  ,0,n,,,
IT Recruitment Consultant , IT Recruitment Consultant ,1000,y,,,
Consultant , Consultant ,1000,y,,,
UI Artist , User interface Artist ,53,y,,,
SDET &amp; Module Lead , Software Development Engineer in Test &amp; Module Lead ,57,y,,,
Director of Customer Marketing , Director of Customer Marketing ,1000,y,,,
Interaction Designer , Interaction Designer ,1000,y,,,
Manager QC Microbiology And Packaging Components , Manager QC Microbiology And Packaging Components ,100,n,,,
Electrical Engineer , Electrical Engineer ,1000,y,,,
Interactive Designer , Interactive Designer ,1000,y,,,
Project Manager , Project Manager ,1000,y,,,
Financial Manager : Group Services , Financial Manager  Group Services ,1000,y,,,
Media Sales Executive , Media Sales Executive ,1000,y,,,
Software Engineer , Software Engineer ,1000,y,,,
Network Engineer , Network Engineer ,1000,y,,,
Head of Legal , Head of Legal ,1000,y,,,
Chair , Chair ,1000,y,,,
 Case Management Group in Drug Safety , Case Management Group in Drug Safety ,1000,y,,,
Research Scientist and Fellow , Research Scientist and Fellow ,1000,y,,,
Producer , Producer ,1000,y,,,
Co-founder &amp; CTO , Co-founder &amp; chief technology officer  ,55,y,,,
Manager of Wintel/Unix ,  ,0,n,,,
Senior Developer , Senior Developer ,1000,y,,,
Multimedia Consultant , Multimedia Consultant ,1000,y,,,
Human Resources Generalist , Human Resources Generalist ,1000,y,,,
Interaction Designer &amp; Digital Media Consultant , Interaction Designer amp Digital Media Consultant ,1000,y,,,
Analytical Development Chemist , Analytical Development Chemist ,1000,y,,,
Senior System Application Engineer - Digital-TV &amp; Set-Top-Box ,  ,0,n,,,
Developer , Developer ,1000,y,,,
Level Designer / Prop Artist , Level Designer  Prop Artist ,1000,y,,,
 Producer New Media , Producer New Media ,1000,y,,,
Sr Systems Architect , Sr Systems Architect ,1000,y,,,
Project Services Manager , Project Services Manager ,1000,y,,,
Senior Developer , Senior Developer ,1000,y,,,
UX Designer , User experience design Designer ,48,y,,,
Human Resources Manager , Human Resources Manager ,1000,y,,,
Project Manager and User Experience Lead , Project Manager and User Experience Lead ,1000,y,,,
Senior Software Engineer , Senior Software Engineer ,1000,y,,,
Laboratory Technician QA Consumer Products Department , Laboratory Technician QA Consumer Products Department ,1000,y,,,
Assistant Controller , Assistant Controller ,1000,y,,,
SAP MM/WM Sr. Functional Consultant ,  ,0,n,,,
Illustrator freelance , Illustrator freelance ,1000,y,,,
Qa Compliance Manager , QA Compliance Manager ,95,y,,,
Software Engineer , Software Engineer ,1000,y,,,
Systems Infrastructure Architect , Systems Infrastructure Architect ,1000,y,,,
Drilling Supervisor , Drilling Supervisor ,1000,y,,,
Technical Writer , Technical Writer ,1000,y,,,
Senior UI/UX Designer , Senior UI/User experience design Designer ,65,y,,,
Systems Engineer (Internship) , Systems Engineer Internship ,1000,y,,,
Sr PHP/MySQL Software Developer / Programmer , Sr PHP/MySQL Software Developer / Programmer ,100,n,,,
Chief Economist , Chief Economist ,1000,y,,,
Technical Consultant , Technical Consultant ,1000,y,,,
Administrative Assistant II , Administrative Assistant II ,1000,y,,,
Technical Lead , Technical Lead ,1000,y,,,
 IBM Global Business Services Consultant , IBM Global Business Services Consultant ,99,y,,,
Associate Art Coordinator For Gillette , Associate Art Coordinator For Gillette ,1000,y,,,
QC Senior Analyst - Product analysis group , QC Senior Analyst - Product analysis group ,100,n,,,
Sales Manager - Finance , Sales Manager  Finance ,1000,y,,,
Technical Lead , Technical Lead ,1000,y,,,
General Manager , General Manager ,1000,y,,,
Web Analyst , Web Analyst ,1000,y,,,
Interaction Designer , Interaction Designer ,1000,y,,,
 Interaction Designer , Interaction Designer ,1000,y,,,
VMware Cloud Engineer , VMware Cloud Engineer ,100,n,,,
Game Designer and Developer , Game Designer and Developer ,1000,y,,,
QC Chemist , QC Chemist ,100,n,,,
Linux Team Manager , Linux Team Manager ,1000,y,,,
Lead Gameplay Designer , Lead Gameplay Designer ,100,n,,,
Engineer , Engineer ,1000,y,,,
Systems Developer , Systems Developer ,1000,y,,,
Vice President , Vice President ,1000,y,,,
Confidential , Confidential ,1000,y,,,
Principal Web Software Engineer , Principal Web Software Engineer ,1000,y,,,
Technical Solution Sales , Technical Solution Sales ,1000,y,,,
Director Of Custom Solutions Centre , Director Of Custom Solutions Center ,97,y,,,
Infrastructure Manager , Infrastructure Manager ,1000,y,,,
Project Manager , Project Manager ,1000,y,,,
Technical Consultant , Technical Consultant ,1000,y,,,
QC Microbiology Analyst(product testing) , QC Microbiology Analyst(product testing) ,100,n,,,
Site Admin , Site administrator ,64,y,,,
Consultant , Consultant ,1000,y,,,
Web Consultant , Web Consultant ,1000,y,,,
Offshore HSQE Drilling Advisor / Consultant ,  ,0,n,,,
Training Manager , Training Manager ,1000,y,,,
Lean Project Manager - QC QA , Lean Project Manager - QC QA ,100,n,,,
Product Line Manager, Emerging Technology Group ,1000,n,,,
Back-end developer / Agile practitioner ,  ,0,n,,,
Web Developer , Web Developer ,1000,y,,,
Communications Network Switch Operator , Communications Network Switch Operator ,1000,y,,,
Global Project Lead , Global Project Lead ,1000,y,,,
Senior Software Engineer , Senior Software Engineer ,1000,y,,,
Marketing Communications Intern ✔ Social Media Marketing ✔ Sales Enablement ,  ,0,n,,,
Proofreader/Computer Graphics Editor ,  ,0,n,,,
Design I Teacher&rsquo;s Assistant ,  ,0,n,,,
Project Manager , Project Manager ,1000,y,,,
Butcher , Butcher ,1000,y,,,
 Head of APAC Sales and Client Services , Head of APAC Sales and Client Services ,1000,n,,,
Member of Technical Staff , Member of Technical Staff ,1000,y,,,
APPICATION DEVELOPER/INTEGRATOR , APPLICATION DEVELOPER/INTEGRATOR ,98,y,,,
Free-lance translator , Freelance translator ,1000,y,,,
User Experience Designer and Developer , User Experience Designer and Developer ,1000,y,,,
Field force trainer , Field force trainer ,1000,y,,,
Ingredient Technologist , Ingredient Technologist ,1000,y,,,
Microbiologist , Microbiologist ,1000,y,,,
Quality Control Analysis , Quality Control Analysis ,1000,y,,,
Superintendent Reservoir/Petroleum Engineer, Reservoir Department ,  ,n,,,
Sr. Project Process Manager , Sr Project Process Manager ,1000,y,,,
Financial Analyst , Financial Analyst ,1000,y,,,
Network consultant , Network consultant ,1000,y,,,
Internal Diversity Consultant , Internal Diversity Consultant ,1000,y,,,
Contract Lighting Artist , Contract Lighting Artist ,1000,y,,,
Sr. Manager , Sr Manager ,1000,y,,,
Project Manager , Project Manager ,1000,y,,,
Art Director , Art Director ,1000,y,,,
Director , Director ,1000,y,,,
Systems Administrator , Systems Administrator ,1000,y,,,
Engineer , Engineer ,1000,y,,,
Creative Director , Creative Director ,1000,y,,,
Textile Artist , Textile Artist ,1000,y,,,
Program Manager , Program Manager ,1000,y,,,
Software Engineer , Software Engineer ,1000,y,,,
Senior Software Engineer , Senior Software Engineer ,1000,y,,,
Marketing/Product Manager ,  ,0,n,,,
Stimulation Engineer , Stimulation Engineer ,1000,y,,,
SYSTEM ADMINISTRATOR , SYSTEM ADMINISTRATOR ,1000,y,,,
Java Developer , Java Developer ,1000,y,,,
Programme Manager (Telephony) , Programmer Manager (Telephony) ,98,y,,,
Framework Architect/program Manager ,  ,0,n,,,
Technical Program Manager , Technical Program Manager ,1000,y,,,
Digital Senior Art Director , Digital Senior Art Director ,1000,y,,,
Internal Diversity Consultant , Internal Diversity Consultant ,1000,y,,,
Contract Lighting Artist , Contract Lighting Artist ,1000,y,,,